numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
2046,Acidente,2011-05-01,,MS,Centro-Oeste,PERDA DE CONTROLE NO SOLO,TPP,Corrida após pouso,Voo Privado,Substancial,EMB-711ST,NEIVA,0,0.0,0,2,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
1711,Acidente,2011-01-29,,SP,Sudeste,PERDA DE CONTROLE EM VOO,PRI,Não informado,Voo de Instrução,Não informado,56-C-1,NEIVA,0,0.0,0,0,0,2011,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1721,Acidente,2011-01-30,,RJ,Sudeste,CONTATO ANORMAL COM A PISTA,TPX,Não informado,Táxi Aéreo,Não informado,C90,BEECH AIRCRAFT,0,0.0,0,2,0,2011,Particular Experimental,1 - Não informado
1705,Acidente,2011-01-28,,PR,Sul,PERDA DE CONTROLE EM VOO,TPP,Não informado,Voo Privado,Não informado,58,BEECH AIRCRAFT,3,0.0,0,0,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1703,Acidente,2011-01-28,,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Não informado,Voo de Instrução,Não informado,150M,CESSNA AIRCRAFT,0,0.0,0,2,0,2011,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1698,Incidente Grave,2011-01-27,,AC,Norte,COLISÃO NO SOLO,TPP,Não informado,Voo Privado,Não informado,EMB-810C,EMBRAER,0,0.0,0,0,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1366,Acidente,2010-11-04,,SP,Sudeste,PERDA DE CONTROLE EM VOO,PRI,Não informado,Voo de Instrução,Não informado,R22,ROBINSON HELICOPTER,0,0.0,1,1,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1363,Acidente,2010-11-03,,PE,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,S05,Não informado,Operação Agrícola,Não informado,PA-25-235,PIPER AIRCRAFT,0,0.0,1,0,0,2010,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",1 - Não informado
1369,Acidente,2010-11-05,,PA,Norte,INDETERMINADO,TPP,Não informado,Voo Privado,Destruída,PA-28-235,PIPER AIRCRAFT,0,2.0,0,0,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),6 - Destruída
1353,Acidente,2010-10-31,,PA,Norte,COMBUSTÍVEL,S07,Não informado,Operação Especializada,Não informado,PA-31,PIPER AIRCRAFT,0,0.0,2,0,0,2010,"Aeronaves Experimentais (Aeroplanos, Planadores, LE)",1 - Não informado
